repo_name,collection_date,stars_total,forks_total,star_velocity,commit_frequency,hn_buzz_score,language,days_old,fork_rate,popularity_score,created_at
swisskyrepo/PayloadsAllTheThings,2025-12-20,72780,16361,204,0,0.0,Python,3350,0.22480076944215444,25208.2,2016-10-18T07:29:07Z
exo-explore/exo,2025-12-20,34152,2320,336,24,0.0,Python,543,0.06793159990630124,10877.6,2024-06-24T18:36:22Z
lintsinghua/DeepAudit,2025-12-20,1965,211,60,0,0.0,Python,92,0.10737913486005089,661.7,2025-09-19T15:53:48Z
anthropics/claude-code,2025-12-20,47347,3326,48,0,0.0,Shell,300,0.07024732295604791,14893.300000000001,2025-02-22T17:41:21Z
github/awesome-copilot,2025-12-20,14910,1757,108,0,0.0,JavaScript,192,0.11784037558685447,4878.4,2025-06-11T16:57:39Z
GreyDGL/PentestGPT,2025-12-20,9739,1428,48,0,0.0,Python,1027,0.14662696375397885,3231.2999999999997,2023-02-27T06:01:53Z
NexaAI/nexa-sdk,2025-12-20,6673,873,72,0,0.0,Go,490,0.1308257155702083,2212.5,2024-08-16T20:13:07Z
astral-sh/ty,2025-12-20,15153,160,60,0,0.0,Python,232,0.010558965221408301,4607.9,2025-05-02T16:37:51Z
cloudcommunity/Free-Certifications,2025-12-20,47029,3169,120,0,0.0,Unknown,1968,0.06738395458121585,14802.499999999998,2020-07-31T10:26:19Z
sgl-project/mini-sglang,2025-12-20,1649,125,60,0,0.0,Python,109,0.07580351728320193,549.7,2025-09-01T22:31:45Z
iptv-org/iptv,2025-12-20,105753,4829,84,0,0.0,TypeScript,2592,0.04566300719601335,32733.699999999997,2018-11-14T22:00:57Z
