repo_name,collection_date,stars_total,forks_total,star_velocity,commit_frequency,hn_buzz_score,language,days_old,fork_rate,popularity_score,created_at,is_trending
jrouwe/JoltPhysics,2025-12-31,9067,620,108,0,0.0,C++,1601,0.06837983897650822,2898.1,2021-08-12T14:12:24Z,-1
timescale/pg-aiguide,2025-12-31,857,48,72,0,0.0,Python,160,0.056009334889148193,302.7,2025-07-23T16:40:10Z,-1
x1xhlol/system-prompts-and-models-of-ai-tools,2025-12-31,104278,27654,228,0,0.0,Unknown,300,0.2651949596271505,36928.2,2025-03-05T16:38:29Z,-1
BloopAI/vibe-kanban,2025-12-31,9425,859,396,0,0.0,Rust,199,0.09114058355437665,3197.3,2025-06-14T19:10:21Z,-1
QuantConnect/Lean,2025-12-31,15261,4127,120,0,0.0,C#,4051,0.27042788808072865,5463.700000000001,2014-11-28T04:20:19Z,-1
sinelaw/fresh,2025-12-31,4394,143,108,36,0.0,Rust,371,0.03254437869822485,1400.8,2024-12-24T19:50:15Z,-1
RustPython/RustPython,2025-12-31,21546,1394,36,0,0.0,Rust,2773,0.06469878399702961,6760.6,2018-05-28T19:27:01Z,-1
alexta69/metube,2025-12-31,11642,787,144,0,0.0,Python,2223,0.06760006871671534,3722.0,2019-11-29T17:24:51Z,-1
resemble-ai/chatterbox,2025-12-31,19722,2582,96,0,0.0,Python,251,0.1309197850116621,6480.999999999999,2025-04-23T08:16:38Z,-1
anthropics/skills,2025-12-31,30454,2780,228,0,0.0,Python,99,0.09128521704866356,9806.199999999999,2025-09-22T15:53:31Z,-1
cjpais/Handy,2025-12-31,9557,668,156,0,0.0,TypeScript,321,0.06989641100763838,3078.7,2025-02-13T02:42:29Z,-1
sst/opencode,2025-12-31,44641,3840,240,36,0.0,TypeScript,244,0.08601957841446205,14280.3,2025-04-30T20:08:00Z,-1
louislam/uptime-kuma,2025-12-31,80569,7181,48,0,0.0,JavaScript,1642,0.08912857302436421,25630.9,2021-07-03T01:02:42Z,-1
